term,count,BINS,FREQUENCY
set,28090,500,26084
string,27302,1000,207
instanc,26212,1500,112
valu,24211,3000,91
option,18234,6000,52
attribut,17423,12000,18
return,16781,24000,9
class,16447,>24000,4
result,15788,,
name,15548,,
param,13276,,
thi,13057,,
add,13011,,
index,11775,,
num,11394,,
node,9806,,
list,9435,,
data,8806,,
pre,8245,,
new,8041,,
file,7830,,
gener,7648,,
object,7589,,
test,7108,,
text,7080,,
properti,6907,,
licens,6860,,
type,6811,,
classifi,6787,,
element,6710,,
filter,6027,,
version,5905,,
length,5854,,
overrid,5653,,
gnu,5494,,
size,5435,,
number,5352,,
array,5345,,
output,5024,,
listen,4737,,
current,4665,,
vector,4663,,
weight,4632,,
select,4591,,
default,4559,,
util,4428,,
doubl,4427,,
public,4286,,
program,4264,,
ani,4231,,
model,4222,,
append,4197,,
att,4175,,
xml,4138,,
inst,4125,,
train,3992,,
revis,3987,,
event,3931,,
miss,3925,,
panel,3817,,
system,3805,,
input,3764,,
format,3731,,
field,3705,,
action,3522,,
capabl,3487,,
http,3475,,
code,3467,,
parent,3412,,
cluster,3352,,
distribut,3322,,
method,3280,,
println,3277,,
max,3259,,
true,3213,,
count,3182,,
tip,3124,,
temp,3113,,
nomin,3079,,
bean,3066,,
extens,3058,,
item,3054,,
evalu,3030,,
java,2981,,
check,2958,,
copi,2953,,
print,2917,,
link,2905,,
org,2889,,
www,2876,,
free,2862,,
softwar,2768,,
val,2765,,
warranti,2754,,
start,2736,,
serial,2669,,
throw,2645,,
layout,2615,,
matrix,2613,,
waikato,2597,,
numer,2564,,
log,2547,,
width,2536,,
info,2474,,
tree,2469,,
split,2466,,
run,2456,,
sourc,2444,,
display,2436,,
rule,2402,,
contain,2402,,
dataset,2369,,
messag,2363,,
creat,2338,,
equal,2332,,
border,2326,,
enabl,2305,,
random,2229,,
min,2208,,
given,2199,,
key,2186,,
weka,2162,,
point,2155,,
end,2113,,
column,2075,,
predictor,2056,,
error,2040,,
indic,2035,,
sum,2022,,
buffer,2017,,
str,2004,,
rang,2001,,
remov,1982,,
author,1980,,
modifi,1967,,
menu,1963,,
structur,1953,,
color,1917,,
arraylist,1914,,
tostr,1895,,
int,1878,,
handler,1867,,
plot,1820,,
enumer,1818,,
predict,1815,,
label,1811,,
row,1788,,
m_instanc,1774,,
arg,1769,,
constraint,1751,,
stat,1730,,
numattribut,1730,,
chang,1708,,
visual,1706,,
tabl,1674,,
integ,1673,,
detail,1653,,
connect,1652,,
allow,1640,,
gui,1636,,
tmp,1610,,
seed,1603,,
numinst,1602,,
relat,1593,,
button,1592,,
math,1578,,
base,1574,,
dot,1553,,
bay,1550,,
header,1543,,
word,1524,,
perform,1524,,
fit,1519,,
term,1510,,
distanc,1491,,
getopt,1477,,
publish,1474,,
tag,1474,,
particular,1471,,
packag,1469,,
updat,1465,,
order,1451,,
univers,1448,,
receiv,1445,,
